"id","title","status","priority","category","area","outcome"
"BKL-060","Registrar confirmação de pagamento externo","Backlog","Must","Feature","Commercial","Confirmação vinculada à negociação"
"BKL-061","Concluir venda","Backlog","Must","Feature","Commercial","Venda, proposta, reserva e estoque atualizados"
"BKL-062","Preservar snapshot comercial","Backlog","Must","Technical","Commercial","Valores históricos não mudam"
"BKL-063","Consultar histórico de compras","Backlog","Must","Feature","Commercial","Cliente visualiza suas vendas concluídas sob a perspectiva de compra"
"BKL-064","Pesquisar vendas","Backlog","Must","Feature","Commercial","Funcionário consulta operações concluídas"
"BKL-065","Cancelar venda e revisar unidades","Backlog","Must","Feature","Commercial","Gerente compensa a venda sem apagar o histórico"
"BKL-066","Recuperar falhas na conclusão da venda","Backlog","Must","Technical","Commercial","Repetições e eventos confiáveis concluem o fluxo sem duplicar a venda"
"BKL-067","Exibir resumo gerencial de vendas","Backlog","Should","Feature","Commercial","Gerente consulta indicadores comerciais básicos do período"
"BKL-070","Registrar ações importantes","Backlog","Must","Technical","Audit","Trilha básica de auditoria"
"BKL-071","Padronizar validações e mensagens","Backlog","Must","Feature","Platform","Erros claros e consistentes"
"BKL-072","Garantir navegação por teclado","Backlog","Must","Technical","Platform","Fluxos principais acessíveis"
"BKL-073","Criar dados demonstrativos","Backlog","Should","Technical","Platform","Avaliação rápida do portfólio"
"BKL-074","Documentar execução local","Backlog","Must","Documentation","Platform","Projeto executável por outra pessoa"
"BKL-075","Enviar e repetir notificações","Backlog","Must","Technical","Platform","E-mails assíncronos não comprometem a operação comercial"
"BKL-076","Configurar o Event Publication Registry","Backlog","Must","Technical","Platform","Eventos obrigatórios permanecem recuperáveis após falha"
"BKL-077","Consultar trilha de auditoria","Backlog","Must","Feature","Audit","Contas autorizadas pesquisam registros seguros e imutáveis"
"BKL-078","Implementar processos temporais controláveis","Backlog","Must","Technical","Platform","Expirações e repetições usam scheduler, `Clock` e idempotência"
"BKL-079","Proteger logs e dados auditáveis","Backlog","Must","Technical","Audit","Logs técnicos e auditoria não expõem segredos nem dados desnecessários"
"BKL-080","Criar layout e design system da interface","Backlog","Must","Technical","Platform","Thymeleaf e HTMX compartilham componentes visuais consistentes"
"BKL-081","Criar páginas públicas do catálogo","Backlog","Must","Feature","Catalog","Visitante navega, filtra e consulta unidades específicas"
"BKL-082","Criar telas de autenticação e cadastro","Backlog","Must","Feature","Identity","Clientes e funcionários concluem seus fluxos de acesso"
"BKL-083","Criar área do cliente","Backlog","Must","Feature","Customer","Cliente gerencia cadastro, propostas, reservas e compras"
"BKL-084","Criar área administrativa","Backlog","Must","Feature","Identity","Funcionários acessam somente operações permitidas ao seu papel"
"BKL-085","Criar telas do fluxo comercial","Backlog","Must","Feature","Commercial","Solicitação, proposta, reserva e venda podem ser conduzidas pela web"
"BKL-086","Publicar API REST versionada","Backlog","Must","Technical","Platform","Casos de uso selecionados possuem contratos em `/api/v1`"
"BKL-087","Publicar documentação OpenAPI","Backlog","Must","Documentation","Platform","Contratos REST podem ser explorados e testados localmente"
"BKL-088","Validar responsividade e acessibilidade","Backlog","Must","Technical","Platform","Fluxos principais funcionam por teclado e em diferentes telas"
"BKL-090","Criar Dockerfile em múltiplos estágios","Backlog","Must","Technical","Platform","Aplicação gera uma imagem reproduzível e enxuta"
"BKL-091","Integrar aplicação ao Docker Compose","Backlog","Must","Technical","Platform","Aplicação, PostgreSQL e Mailpit sobem com healthchecks"
"BKL-092","Configurar variáveis e exemplo de ambiente","Backlog","Must","Technical","Platform","Outra pessoa configura o projeto sem acessar segredos reais"
"BKL-093","Validar instalação a partir de clone limpo","Backlog","Must","Technical","Platform","Instruções são comprovadas em ambiente sem artefatos anteriores"
"BKL-094","Preparar apresentação técnica do portfólio","Backlog","Should","Documentation","Product","README apresenta arquitetura, execução e evidências visuais"
"BKL-095","Definir licença e governança do repositório","Backlog","Must","Documentation","Product","Uso do código, contribuições e segurança possuem orientação explícita"
"BKL-096","Publicar a release local `v0.1.0`","Backlog","Must","Documentation","Product","Versão demonstrável possui checklist, tag e notas de release"
"BKL-097","Manter estacionamento de evoluções pós-MVP","Backlog","Won't","Documentation","Product","Ideias futuras ficam registradas sem ampliar o compromisso atual"
